resource,path,palette,tag,template_resref,original_base,original_label,original_limit,role,action,shop_copies,planned_base
cnr_b_halberd,src/cnr/uti/cnr_b_halberd.uti.json,CNR - Bases,cnr_b_halberd,cnr_b_halberd,10,halberd,1,equipment,retain_equipment_limit,0,10
cnr_b_haxe,src/cnr/uti/cnr_b_haxe.uti.json,CNR - Bases,cnr_b_haxe,cnr_b_haxe,38,handaxe,1,equipment,retain_equipment_limit,0,38
cnr_b_helmet,src/cnr/uti/cnr_b_helmet.uti.json,CNR - Bases,cnr_b_helmet,cnr_b_helmet,17,helmet,1,equipment,retain_equipment_limit,0,17
cnr_b_hflail,src/cnr/uti/cnr_b_hflail.uti.json,CNR - Bases,cnr_b_hflail,cnr_b_hflail,35,heavyflail,1,equipment,retain_equipment_limit,0,35
cnr_b_hgaxe,src/cnr/uti/cnr_b_hgaxe.uti.json,CNR - Bases,cnr_b_hgaxe,cnr_b_hgaxe,512,Hgreataxe,1,equipment,retain_equipment_limit,0,512
cnr_b_hgsword,src/cnr/uti/cnr_b_hgsword.uti.json,CNR - Bases,cnr_b_hgsword,cnr_b_hgsword,511,Hgreatsword,1,equipment,retain_equipment_limit,0,511
cnr_b_hide,src/cnr/uti/cnr_b_hide.uti.json,CNR - Bases,cnr_b_hide,cnr_b_hide,16,armor,1,equipment,retain_equipment_limit,0,16
cnr_b_hmace,src/cnr/uti/cnr_b_hmace.uti.json,CNR - Bases,cnr_b_hmace,cnr_b_hmace,317,heavy_mace,1,equipment,retain_equipment_limit,0,317
cnr_b_hmaul,src/cnr/uti/cnr_b_hmaul.uti.json,CNR - Bases,cnr_b_hmaul,cnr_b_hmaul,510,Hmaul,1,equipment,retain_equipment_limit,0,510
cnr_b_hpick,src/cnr/uti/cnr_b_hpick.uti.json,CNR - Bases,cnr_b_hpick,cnr_b_hpick,301,heavypick,1,equipment,retain_equipment_limit,0,301
cnr_b_hxbow,src/cnr/uti/cnr_b_hxbow.uti.json,CNR - Bases,cnr_b_hxbow,cnr_b_hxbow,6,heavycrossbow,1,equipment,retain_equipment_limit,0,6
cnr_b_kama,src/cnr/uti/cnr_b_kama.uti.json,CNR - Bases,cnr_b_kama,cnr_b_kama,40,kama,1,equipment,retain_equipment_limit,0,40
cnr_b_katana,src/cnr/uti/cnr_b_katana.uti.json,CNR - Bases,cnr_b_katana,cnr_b_katana,41,katana,1,equipment,retain_equipment_limit,0,41
cnr_b_katar,src/cnr/uti/cnr_b_katar.uti.json,CNR - Bases,cnr_b_katar,cnr_b_katar,310,katar,1,equipment,retain_equipment_limit,0,310
cnr_b_kukri,src/cnr/uti/cnr_b_kukri.uti.json,CNR - Bases,cnr_b_kukri,cnr_b_kukri,42,kukri,1,equipment,retain_equipment_limit,0,42
cnr_b_lbow,src/cnr/uti/cnr_b_lbow.uti.json,CNR - Bases,cnr_b_lbow,cnr_b_lbow,8,longbow,1,equipment,retain_equipment_limit,0,8
cnr_b_leather,src/cnr/uti/cnr_b_leather.uti.json,CNR - Bases,cnr_b_leather,cnr_b_leather,16,armor,1,equipment,retain_equipment_limit,0,16
cnr_b_lflail,src/cnr/uti/cnr_b_lflail.uti.json,CNR - Bases,cnr_b_lflail,cnr_b_lflail,4,lightflail,1,equipment,retain_equipment_limit,0,4
cnr_b_lhammer,src/cnr/uti/cnr_b_lhammer.uti.json,CNR - Bases,cnr_b_lhammer,cnr_b_lhammer,37,lighthammer,1,equipment,retain_equipment_limit,0,37
cnr_b_lmace,src/cnr/uti/cnr_b_lmace.uti.json,CNR - Bases,cnr_b_lmace,cnr_b_lmace,9,lightmace,1,equipment,retain_equipment_limit,0,9
cnr_b_lpick,src/cnr/uti/cnr_b_lpick.uti.json,CNR - Bases,cnr_b_lpick,cnr_b_lpick,302,lightpick,1,equipment,retain_equipment_limit,0,302
cnr_b_lshield,src/cnr/uti/cnr_b_lshield.uti.json,CNR - Bases,cnr_b_lshield,cnr_b_lshield,56,largeshield,1,equipment,retain_equipment_limit,0,56
cnr_b_lspear,src/cnr/uti/cnr_b_lspear.uti.json,CNR - Bases,cnr_b_lspear,cnr_b_lspear,513,Longspear,1,equipment,retain_equipment_limit,0,513
cnr_b_lsword,src/cnr/uti/cnr_b_lsword.uti.json,CNR - Bases,cnr_b_lsword,cnr_b_lsword,1,longsword,1,equipment,retain_equipment_limit,0,1
cnr_b_lxbow,src/cnr/uti/cnr_b_lxbow.uti.json,CNR - Bases,cnr_b_lxbow,cnr_b_lxbow,7,lightcrossbow,1,equipment,retain_equipment_limit,0,7
cnr_b_maugsw,src/cnr/uti/cnr_b_maugsw.uti.json,CNR - Bases,cnr_b_maugsw,cnr_b_maugsw,324,maugdoublesword,1,equipment,retain_equipment_limit,0,324
cnr_b_maul,src/cnr/uti/cnr_b_maul.uti.json,CNR - Bases,cnr_b_maul,cnr_b_maul,318,maul,1,equipment,retain_equipment_limit,0,318
cnr_b_mstar,src/cnr/uti/cnr_b_mstar.uti.json,CNR - Bases,cnr_b_mstar,cnr_b_mstar,47,morningstar,1,equipment,retain_equipment_limit,0,47
cnr_b_nunchak,src/cnr/uti/cnr_b_nunchak.uti.json,CNR - Bases,cnr_b_nunchak,cnr_b_nunchak,304,nunchaku,1,equipment,retain_equipment_limit,0,304
cnr_b_padded,src/cnr/uti/cnr_b_padded.uti.json,CNR - Bases,cnr_b_padded,cnr_b_padded,16,armor,1,equipment,retain_equipment_limit,0,16
cnr_b_plate,src/cnr/uti/cnr_b_plate.uti.json,CNR - Bases,cnr_b_plate,cnr_b_plate,16,armor,1,equipment,retain_equipment_limit,0,16
cnr_b_qstaff,src/cnr/uti/cnr_b_qstaff.uti.json,CNR - Bases,cnr_b_qstaff,cnr_b_qstaff,50,quarterstaff,1,equipment,retain_equipment_limit,0,50
cnr_b_rapier,src/cnr/uti/cnr_b_rapier.uti.json,CNR - Bases,cnr_b_rapier,cnr_b_rapier,51,rapier,1,equipment,retain_equipment_limit,0,51
cnr_b_sai,src/cnr/uti/cnr_b_sai.uti.json,CNR - Bases,cnr_b_sai,cnr_b_sai,303,sai,1,equipment,retain_equipment_limit,0,303
cnr_b_sbow,src/cnr/uti/cnr_b_sbow.uti.json,CNR - Bases,cnr_b_sbow,cnr_b_sbow,11,shortbow,1,equipment,retain_equipment_limit,0,11
cnr_b_scale,src/cnr/uti/cnr_b_scale.uti.json,CNR - Bases,cnr_b_scale,cnr_b_scale,16,armor,1,equipment,retain_equipment_limit,0,16
cnr_b_scim,src/cnr/uti/cnr_b_scim.uti.json,CNR - Bases,cnr_b_scim,cnr_b_scim,53,scimitar,1,equipment,retain_equipment_limit,0,53
cnr_b_scythe,src/cnr/uti/cnr_b_scythe.uti.json,CNR - Bases,cnr_b_scythe,cnr_b_scythe,55,scythe,1,equipment,retain_equipment_limit,0,55
cnr_b_sdagger,src/cnr/uti/cnr_b_sdagger.uti.json,CNR - Bases,cnr_b_sdagger,cnr_b_sdagger,514,SorcererDagger,1,equipment,retain_equipment_limit,0,514
cnr_b_shurik,src/cnr/uti/cnr_b_shurik.uti.json,CNR - Bases,cnr_b_shurik,cnr_b_shurik,59,shuriken,50,equipment,retain_equipment_limit,0,59
cnr_b_sickle,src/cnr/uti/cnr_b_sickle.uti.json,CNR - Bases,cnr_b_sickle,cnr_b_sickle,60,sickle,1,equipment,retain_equipment_limit,0,60
cnr_b_sshield,src/cnr/uti/cnr_b_sshield.uti.json,CNR - Bases,cnr_b_sshield,cnr_b_sshield,14,smallshield,1,equipment,retain_equipment_limit,0,14
cnr_b_sspear,src/cnr/uti/cnr_b_sspear.uti.json,CNR - Bases,cnr_b_sspear,cnr_b_sspear,210,shortspear,1,equipment,retain_equipment_limit,0,210
cnr_b_ssword,src/cnr/uti/cnr_b_ssword.uti.json,CNR - Bases,cnr_b_ssword,cnr_b_ssword,0,shortsword,1,equipment,retain_equipment_limit,0,0
cnr_b_studded,src/cnr/uti/cnr_b_studded.uti.json,CNR - Bases,cnr_b_studded,cnr_b_studded,16,armor,1,equipment,retain_equipment_limit,0,16
cnr_b_taxe,src/cnr/uti/cnr_b_taxe.uti.json,CNR - Bases,cnr_b_taxe,cnr_b_taxe,63,throwingaxe,50,equipment,retain_equipment_limit,0,63
cnr_b_trid1h,src/cnr/uti/cnr_b_trid1h.uti.json,CNR - Bases,cnr_b_trid1h,cnr_b_trid1h,300,trident_1h,1,equipment,retain_equipment_limit,0,300
cnr_b_trident,src/cnr/uti/cnr_b_trident.uti.json,CNR - Bases,cnr_b_trident,cnr_b_trident,95,trident,1,equipment,retain_equipment_limit,0,95
cnr_b_tshield,src/cnr/uti/cnr_b_tshield.uti.json,CNR - Bases,cnr_b_tshield,cnr_b_tshield,57,towershield,1,equipment,retain_equipment_limit,0,57
cnr_b_veneno_con,src/cnr/uti/cnr_b_veneno_con.uti.json,CNR - Varios,cnr_b_veneno_con,cnr_b_veneno_con,81,grenade,10,material_or_consumable,retain_stack_10,0,81
cnr_b_veneno_her,src/cnr/uti/cnr_b_veneno_her.uti.json,CNR - Varios,cnr_b_veneno_her,cnr_b_veneno_her,81,grenade,10,material_or_consumable,retain_stack_10,0,81
cnr_b_veneno_ing,src/cnr/uti/cnr_b_veneno_ing.uti.json,CNR - Varios,cnr_b_veneno_ing,cnr_b_veneno_ing,81,grenade,10,material_or_consumable,retain_stack_10,0,81
cnr_b_veneno_inh,src/cnr/uti/cnr_b_veneno_inh.uti.json,CNR - Varios,cnr_b_veneno_inh,cnr_b_veneno_inh,81,grenade,10,material_or_consumable,retain_stack_10,0,81
cnr_b_wfwheel,src/cnr/uti/cnr_b_wfwheel.uti.json,CNR - Bases,cnr_b_wfwheel,cnr_b_wfwheel,323,windfirewheel,1,equipment,retain_equipment_limit,0,323
cnr_b_whammer,src/cnr/uti/cnr_b_whammer.uti.json,CNR - Bases,cnr_b_whammer,cnr_b_whammer,5,warhammer,1,equipment,retain_equipment_limit,0,5
cnr_b_whip,src/cnr/uti/cnr_b_whip.uti.json,CNR - Bases,cnr_b_whip,cnr_b_whip,111,Whip,1,equipment,retain_equipment_limit,0,111
cnr_b_wspear,src/cnr/uti/cnr_b_wspear.uti.json,CNR - Bases,cnr_b_wspear,cnr_b_wspear,58,warspear,1,equipment,retain_equipment_limit,0,58
cnr_bastonroble,src/cnr/uti/cnr_bastonroble.uti.json,CNR - Carpinteria,cnr_bastonroble,cnr_bastonroble,45,magicstaff,1,equipment,retain_equipment_limit,0,45
cnr_c_1,src/cnr/uti/cnr_c_1.uti.json,CNR - Arcano,cnr_c_1,cnr_c_1,79,miscthin,1,material_or_consumable,dedicated_stack_10,0,530
cnr_c_2,src/cnr/uti/cnr_c_2.uti.json,CNR - Arcano,cnr_c_2,cnr_c_2,79,miscthin,1,material_or_consumable,dedicated_stack_10,0,530
cnr_c_3,src/cnr/uti/cnr_c_3.uti.json,CNR - Arcano,cnr_c_3,cnr_c_3,79,miscthin,1,material_or_consumable,dedicated_stack_10,0,530
cnr_c_4,src/cnr/uti/cnr_c_4.uti.json,CNR - Arcano,cnr_c_4,cnr_c_4,79,miscthin,1,material_or_consumable,dedicated_stack_10,0,530
cnr_c_5,src/cnr/uti/cnr_c_5.uti.json,CNR - Arcano,cnr_c_5,cnr_c_5,79,miscthin,1,material_or_consumable,dedicated_stack_10,0,530
cnr_c_6,src/cnr/uti/cnr_c_6.uti.json,CNR - Arcano,cnr_c_6,cnr_c_6,79,miscthin,1,material_or_consumable,dedicated_stack_10,0,530
cnr_e_1,src/cnr/uti/cnr_e_1.uti.json,CNR - Arcano,cnr_e_1,cnr_e_1,211,miscsmall3,1,material_or_consumable,dedicated_stack_10,0,532
cnr_e_10,src/cnr/uti/cnr_e_10.uti.json,CNR - Arcano,cnr_e_10,cnr_e_10,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_100,src/cnr/uti/cnr_e_100.uti.json,CNR - Arcano,cnr_e_100,cnr_e_100,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_101,src/cnr/uti/cnr_e_101.uti.json,CNR - Arcano,cnr_e_101,cnr_e_101,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_102,src/cnr/uti/cnr_e_102.uti.json,CNR - Arcano,cnr_e_102,cnr_e_102,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_103,src/cnr/uti/cnr_e_103.uti.json,CNR - Arcano,cnr_e_103,cnr_e_103,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_104,src/cnr/uti/cnr_e_104.uti.json,CNR - Arcano,cnr_e_104,cnr_e_104,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_105,src/cnr/uti/cnr_e_105.uti.json,CNR - Arcano,cnr_e_105,cnr_e_105,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_106,src/cnr/uti/cnr_e_106.uti.json,CNR - Arcano,cnr_e_106,cnr_e_106,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_107,src/cnr/uti/cnr_e_107.uti.json,CNR - Arcano,cnr_e_107,cnr_e_107,211,miscsmall3,1,material_or_consumable,dedicated_stack_10,0,532
cnr_e_108,src/cnr/uti/cnr_e_108.uti.json,CNR - Arcano,cnr_e_108,cnr_e_108,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_109,src/cnr/uti/cnr_e_109.uti.json,CNR - Arcano,cnr_e_109,cnr_e_109,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_11,src/cnr/uti/cnr_e_11.uti.json,CNR - Arcano,cnr_e_11,cnr_e_11,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_110,src/cnr/uti/cnr_e_110.uti.json,CNR - Arcano,cnr_e_110,cnr_e_110,211,miscsmall3,1,material_or_consumable,dedicated_stack_10,0,532
cnr_e_111,src/cnr/uti/cnr_e_111.uti.json,CNR - Arcano,cnr_e_111,cnr_e_111,211,miscsmall3,1,material_or_consumable,dedicated_stack_10,0,532
cnr_e_112,src/cnr/uti/cnr_e_112.uti.json,CNR - Arcano,cnr_e_112,cnr_e_112,211,miscsmall3,1,material_or_consumable,dedicated_stack_10,0,532
cnr_e_113,src/cnr/uti/cnr_e_113.uti.json,CNR - Arcano,cnr_e_113,cnr_e_113,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_114,src/cnr/uti/cnr_e_114.uti.json,CNR - Arcano,cnr_e_114,cnr_e_114,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_115,src/cnr/uti/cnr_e_115.uti.json,CNR - Arcano,cnr_e_115,cnr_e_115,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_116,src/cnr/uti/cnr_e_116.uti.json,CNR - Arcano,cnr_e_116,cnr_e_116,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_117,src/cnr/uti/cnr_e_117.uti.json,CNR - Arcano,cnr_e_117,cnr_e_117,24,miscsmall,1,material_or_consumable,dedicated_stack_10,0,523
cnr_e_118,src/cnr/uti/cnr_e_118.uti.json,CNR - Arcano,cnr_e_118,cnr_e_118,211,miscsmall3,1,material_or_consumable,dedicated_stack_10,0,532
cnr_e_119,src/cnr/uti/cnr_e_119.uti.json,CNR - Arcano,cnr_e_119,cnr_e_119,211,miscsmall3,1,material_or_consumable,dedicated_stack_10,0,532
cnr_e_12,src/cnr/uti/cnr_e_12.uti.json,CNR - Arcano,cnr_e_12,cnr_e_12,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_120,src/cnr/uti/cnr_e_120.uti.json,CNR - Arcano,cnr_e_120,cnr_e_120,211,miscsmall3,1,material_or_consumable,dedicated_stack_10,0,532
cnr_e_121,src/cnr/uti/cnr_e_121.uti.json,CNR - Arcano,cnr_e_121,cnr_e_121,211,miscsmall3,1,material_or_consumable,dedicated_stack_10,0,532
cnr_e_122,src/cnr/uti/cnr_e_122.uti.json,CNR - Arcano,cnr_e_122,cnr_e_122,211,miscsmall3,1,material_or_consumable,dedicated_stack_10,0,532
cnr_e_123,src/cnr/uti/cnr_e_123.uti.json,CNR - Arcano,cnr_e_123,cnr_e_123,211,miscsmall3,1,material_or_consumable,dedicated_stack_10,0,532
cnr_e_124,src/cnr/uti/cnr_e_124.uti.json,CNR - Arcano,cnr_e_124,cnr_e_124,211,miscsmall3,1,material_or_consumable,dedicated_stack_10,0,532
cnr_e_125,src/cnr/uti/cnr_e_125.uti.json,CNR - Arcano,cnr_e_125,cnr_e_125,211,miscsmall3,1,material_or_consumable,dedicated_stack_10,0,532
cnr_e_126,src/cnr/uti/cnr_e_126.uti.json,CNR - Arcano,cnr_e_126,cnr_e_126,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_127,src/cnr/uti/cnr_e_127.uti.json,CNR - Arcano,cnr_e_127,cnr_e_127,79,miscthin,1,material_or_consumable,dedicated_stack_10,0,530
cnr_e_128,src/cnr/uti/cnr_e_128.uti.json,CNR - Arcano,cnr_e_128,cnr_e_128,101,empty_potion,1,material_or_consumable,dedicated_stack_10,1,531
cnr_e_129,src/cnr/uti/cnr_e_129.uti.json,CNR - Arcano,cnr_e_129,cnr_e_129,211,miscsmall3,1,material_or_consumable,dedicated_stack_10,0,532
cnr_e_13,src/cnr/uti/cnr_e_13.uti.json,CNR - Arcano,cnr_e_13,cnr_e_13,211,miscsmall3,1,material_or_consumable,dedicated_stack_10,0,532
cnr_e_14,src/cnr/uti/cnr_e_14.uti.json,CNR - Arcano,cnr_e_14,cnr_e_14,211,miscsmall3,1,material_or_consumable,dedicated_stack_10,0,532
cnr_e_15,src/cnr/uti/cnr_e_15.uti.json,CNR - Arcano,cnr_e_15,cnr_e_15,211,miscsmall3,1,material_or_consumable,dedicated_stack_10,0,532
cnr_e_16,src/cnr/uti/cnr_e_16.uti.json,CNR - Arcano,cnr_e_16,cnr_e_16,211,miscsmall3,1,material_or_consumable,dedicated_stack_10,0,532
cnr_e_17,src/cnr/uti/cnr_e_17.uti.json,CNR - Arcano,cnr_e_17,cnr_e_17,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_18,src/cnr/uti/cnr_e_18.uti.json,CNR - Arcano,cnr_e_18,cnr_e_18,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_19,src/cnr/uti/cnr_e_19.uti.json,CNR - Arcano,cnr_e_19,cnr_e_19,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_2,src/cnr/uti/cnr_e_2.uti.json,CNR - Arcano,cnr_e_2,cnr_e_2,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_20,src/cnr/uti/cnr_e_20.uti.json,CNR - Arcano,cnr_e_20,cnr_e_20,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_21,src/cnr/uti/cnr_e_21.uti.json,CNR - Arcano,cnr_e_21,cnr_e_21,211,miscsmall3,1,material_or_consumable,dedicated_stack_10,0,532
cnr_e_22,src/cnr/uti/cnr_e_22.uti.json,CNR - Arcano,cnr_e_22,cnr_e_22,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_23,src/cnr/uti/cnr_e_23.uti.json,CNR - Arcano,cnr_e_23,cnr_e_23,211,miscsmall3,1,material_or_consumable,dedicated_stack_10,0,532
cnr_e_24,src/cnr/uti/cnr_e_24.uti.json,CNR - Arcano,cnr_e_24,cnr_e_24,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_25,src/cnr/uti/cnr_e_25.uti.json,CNR - Arcano,cnr_e_25,cnr_e_25,211,miscsmall3,1,material_or_consumable,dedicated_stack_10,0,532
cnr_e_26,src/cnr/uti/cnr_e_26.uti.json,CNR - Arcano,cnr_e_26,cnr_e_26,211,miscsmall3,1,material_or_consumable,dedicated_stack_10,0,532
cnr_e_27,src/cnr/uti/cnr_e_27.uti.json,CNR - Arcano,cnr_e_27,cnr_e_27,211,miscsmall3,1,material_or_consumable,dedicated_stack_10,0,532
cnr_e_28,src/cnr/uti/cnr_e_28.uti.json,CNR - Arcano,cnr_e_28,cnr_e_28,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_29,src/cnr/uti/cnr_e_29.uti.json,CNR - Arcano,cnr_e_29,cnr_e_29,211,miscsmall3,1,material_or_consumable,dedicated_stack_10,0,532
cnr_e_3,src/cnr/uti/cnr_e_3.uti.json,CNR - Arcano,cnr_e_3,cnr_e_3,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_30,src/cnr/uti/cnr_e_30.uti.json,CNR - Arcano,cnr_e_30,cnr_e_30,211,miscsmall3,1,material_or_consumable,dedicated_stack_10,0,532
cnr_e_31,src/cnr/uti/cnr_e_31.uti.json,CNR - Arcano,cnr_e_31,cnr_e_31,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_32,src/cnr/uti/cnr_e_32.uti.json,CNR - Arcano,cnr_e_32,cnr_e_32,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_33,src/cnr/uti/cnr_e_33.uti.json,CNR - Arcano,cnr_e_33,cnr_e_33,24,miscsmall,1,material_or_consumable,dedicated_stack_10,0,523
cnr_e_34,src/cnr/uti/cnr_e_34.uti.json,CNR - Arcano,cnr_e_34,cnr_e_34,24,miscsmall,1,material_or_consumable,dedicated_stack_10,0,523
cnr_e_35,src/cnr/uti/cnr_e_35.uti.json,CNR - Arcano,cnr_e_35,cnr_e_35,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_36,src/cnr/uti/cnr_e_36.uti.json,CNR - Arcano,cnr_e_36,cnr_e_36,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_37,src/cnr/uti/cnr_e_37.uti.json,CNR - Arcano,cnr_e_37,cnr_e_37,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_38,src/cnr/uti/cnr_e_38.uti.json,CNR - Arcano,cnr_e_38,cnr_e_38,211,miscsmall3,1,material_or_consumable,dedicated_stack_10,0,532
cnr_e_39,src/cnr/uti/cnr_e_39.uti.json,CNR - Arcano,cnr_e_39,cnr_e_39,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_4,src/cnr/uti/cnr_e_4.uti.json,CNR - Arcano,cnr_e_4,cnr_e_4,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_40,src/cnr/uti/cnr_e_40.uti.json,CNR - Arcano,cnr_e_40,cnr_e_40,211,miscsmall3,1,material_or_consumable,dedicated_stack_10,0,532
cnr_e_41,src/cnr/uti/cnr_e_41.uti.json,CNR - Arcano,cnr_e_41,cnr_e_41,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_42,src/cnr/uti/cnr_e_42.uti.json,CNR - Arcano,cnr_e_42,cnr_e_42,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
cnr_e_43,src/cnr/uti/cnr_e_43.uti.json,CNR - Arcano,cnr_e_43,cnr_e_43,311,miscsmall2,1,material_or_consumable,dedicated_stack_10,0,537
