"Forma de uso: Filtra por la pestaña ""Tipo"" (Columna C). Te saldrán todos los productos asociados.",,,,,
Nombre,Producto,Cristal,Máximo,Ubicación,Equipo
Deambulamiento de rávido,TS radiante,Fénix,3,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Tez de Fee'ri,TS Enajenador,Fénix,3,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Calima de zombi de bruma tirana,TS Enfermedad,Fénix,3,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Carne pegajosa de regresado,TS Miedo,Fénix,3,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Espectro de réprobo,TS Muerte,Fénix,3,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Ojo oscuro carmesí de tritón de fuego,TS Fortaleza,Fénix,3,Loot azul oscuro y criaturas nivel 11 a 15 en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Cornadura de unicornio negro,TS voluntad,Fénix,3,Loot azul oscuro y criaturas nivel 11 a 15 en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Liviandad de béstia de Xvim,TS Reflejos,Fénix,3,Loot azul oscuro y criaturas nivel 11 a 15 en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Dádiva de archiliche,TS universal,Fénix,2,Loot titánico y criaturas de nivel +20 en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
HUECOS DE CONJURO,,,,,
Devoción de mártir,Huecos clerigo,Hada,6,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Encanto de lilenda,Huecos bardo,Hada,6,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Enigma de ginoesfinge,Huecos mago,Hada,6,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Fervor de ent,Huecos druida,Hada,6,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Instinto de lobo terrible,Huecos explorador,Hada,3,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Plumas de couatl,Huecos hechicero,Hada,6,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Nobleza de grifo,Huecos paladin,Hada,3,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Vuelo de semicelestial,Huecos alma predilecta,Hada,6,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Tinieblas de noctámbulo,Huecos paladin oscuro,Hada,3,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Ferocidad de erinia,Huecos paladin vengador,Hada,3,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Tutelaje de deva astral,Huecos caballero de la luz,Hada,3,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Astucia de márilith,Huecos artifice,Hada,3,Loot azul claro y criaturas nivel 10 o menos en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
INMUNIDAD AL DAÑO,,,,,
Pesuño de bestia de Málar,Cortante,Dragón,20,Loot azul oscuro y criaturas nivel 11 a 15 en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Colmillo de abishái,Perforante,Dragón,20,Loot azul oscuro y criaturas nivel 11 a 15 en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Vellosidad de alaghi,Contundente,Dragón,20,Loot azul oscuro y criaturas nivel 11 a 15 en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Espolón de dragónido,Fuego,Dragón,20,Loot azul oscuro y criaturas nivel 11 a 15 en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Claridad de nyzh,Trueno,Dragón,20,Loot azul oscuro y criaturas nivel 11 a 15 en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Hálito de dragón del canto,Relámpago,Dragón,20,Loot azul oscuro y criaturas nivel 11 a 15 en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Escama de asabi,Ácido,Dragón,20,Loot azul oscuro y criaturas nivel 11 a 15 en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Gotas de ábalin,Frío,Dragón,20,Loot azul oscuro y criaturas nivel 11 a 15 en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Pelaje de araña subterránea,Veneno,Dragón,20,Loot azul oscuro y criaturas nivel 11 a 15 en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Caspa de ibrandlin,Psíquico,Dragón,20,Loot titánico y criaturas de nivel +20 en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Tentáculo de yokhol,Necrótico,Dragón,20,Loot titánico y criaturas de nivel +20 en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Faz de hybsil,Radiante,Dragón,20,Loot titánico y criaturas de nivel +20 en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Ojo de contemplador,Fuerza,Dragón,20,Loot titánico y criaturas de nivel +20 en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
EFECTO AL GOLPEAR,,,,,
Mandíbula de aranea,Veneno,Contemplador,CD 16,Loot legendario y criaturas nivel 16 a 20 en %,"Armas cuerpo a cuerpo, arrojadizas y municion"
Plaga de murciélagos,Hiriente,Contemplador,CD 16,Loot legendario y criaturas nivel 16 a 20 en %,"Armas cuerpo a cuerpo, arrojadizas y municion"
Presa de gusano púrpura,Inmovilizar,Contemplador,CD 16,Loot titánico y criaturas de nivel +20 en %,"Armas cuerpo a cuerpo, arrojadizas y municion"
Puño de trueno de marut,Sordera,Contemplador,CD 16,Loot legendario y criaturas nivel 16 a 20 en %,"Armas cuerpo a cuerpo, arrojadizas y municion"
Zarpa de can trasguero,Atontar,Contemplador,CD 16,Loot titánico y criaturas de nivel +20 en %,"Armas cuerpo a cuerpo, arrojadizas y municion"
Gas de dragón de oropel,Confusión,Contemplador,CD 16,Loot legendario y criaturas nivel 16 a 20 en %,"Armas cuerpo a cuerpo, arrojadizas y municion"
Óculo de bocón barbotante,Silencio,Contemplador,CD 16,Loot legendario y criaturas nivel 16 a 20 en %,"Armas cuerpo a cuerpo, arrojadizas y municion"
Órgano sensorial de hongo fantasmal,Dormir,Contemplador,CD 16,Loot legendario y criaturas nivel 16 a 20 en %,"Armas cuerpo a cuerpo, arrojadizas y municion"
Carne putrefacta del señor de las momias,Ralentizar,Contemplador,CD 16,Loot legendario y criaturas nivel 16 a 20 en %,"Armas cuerpo a cuerpo, arrojadizas y municion"
Verruga de saga nocturna,Miedo,Contemplador,CD 16,Loot legendario y criaturas nivel 16 a 20 en %,"Armas cuerpo a cuerpo, arrojadizas y municion"
DAÑO (ARMAS),,,,,
Colmillo de abishái,Daño perforante,Hada,1d8,Loot legendario y criaturas nivel 16 a 20 en %,Arma cuerpo a cuerpo y a distancia
Vellosidad de alaghi,Daño contundente,Hada,1d8,Loot legendario y criaturas nivel 16 a 20 en %,Arma cuerpo a cuerpo y a distancia
Pesuño de bestia de Málar,Daño cortante,Hada,1d8,Loot legendario y criaturas nivel 16 a 20 en %,Arma cuerpo a cuerpo y a distancia
Espolón de dragónido,Fuego,Hada,1d8,Loot legendario y criaturas nivel 16 a 20 en %,Arma cuerpo a cuerpo y a distancia
Hálito de dragón del canto,Relámpago,Hada,1d8,Loot legendario y criaturas nivel 16 a 20 en %,Arma cuerpo a cuerpo y a distancia
Gotas de ábalin,Frío,Hada,1d8,Loot legendario y criaturas nivel 16 a 20 en %,Arma cuerpo a cuerpo y a distancia
Escama de asabi,Ácido,Hada,1d8,Loot legendario y criaturas nivel 16 a 20 en %,Arma cuerpo a cuerpo y a distancia
Claridad de nyzh,Trueno,Hada,1d8,Loot legendario y criaturas nivel 16 a 20 en %,Arma cuerpo a cuerpo y a distancia
Caspa de ibrandlin,Daño psíquico,Hada,1d8,Loot titánico y criaturas de nivel +20 en %,Arma cuerpo a cuerpo y a distancia
Tentáculo de yokhol,Daño necrótico,Hada,1d8,Loot titánico y criaturas de nivel +20 en %,Arma cuerpo a cuerpo y a distancia
Faz de hybsil,Daño radiante,Hada,1d8,Loot titánico y criaturas de nivel +20 en %,Arma cuerpo a cuerpo y a distancia
Ojo de contemplador,Daño fuerza,Hada,1d8,Loot titánico y criaturas de nivel +20 en %,Arma cuerpo a cuerpo y a distancia
OTROS,,,,,
Sangre de vampiro,Regeneracion vampirica,Sombra,5,Loot azul oscuro y criaturas nivel 11 a 15 en %,Armas cuerpo a cuerpo
Mordisco de perro de guerra nessiano,Críticos masivos,Sombra,1d8,Loot azul oscuro y criaturas nivel 11 a 15 en %,"Armas cuerpo a cuerpo y a distancia (estoques, kukris y cimitarras 2 cristales)"
Púa afilada de gelugón,Afiladura,Sombra,,Loot legendario y criaturas nivel 16 a 20 en %,Arma cuerpo a cuerpo y a distancia
Galope de centauro,Reforzar,Sombra,5,Loot azul oscuro y criaturas nivel 11 a 15 en %,Armas a distancia
Luz cegadora de bezekira,Luz,Sombra,4,Loot azul claro y criaturas nivel 10 o menos en %,"Colgante, anillo"
Carroña de xorn,"Reduccion de daño 5/+1,+2,+3....",Sombra,4,Loot titánico y criaturas de nivel +20 en %,"Armadura, escudo, yelmo, baston, baston de mago, daga de mago, colgante, anillo"
Levitación de lamparconte,Reduccion de peso,Sombra,4,Loot azul claro y criaturas nivel 10 o menos en %,Todos los objetos
Piel correosa de troll cazador,Regeneracion,Sombra,1,Loot legendario y criaturas nivel 16 a 20 en %,"Colgante, anillo"
